ファイル,行,旧,新,形,場所,区分,適用,照合,旧の行の先頭
lib/elab.ml,284,sample.kel:815-821,sample.kel:817-823,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// pub を付けるには、型注釈が完全でなければならない。入れ子の矢印の `@` も省略できない。
lib/elab.ml,286,sample.kel:818-819,sample.kel:820-821,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// この要求は、pub newtype のフィールドに現れる矢印にも適用する（§9 の Parser が例）。
lib/elab.ml,290,sample.kel:484-485,sample.kel:484-485,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 「最外の矢印」は、関数束縛（`let f(x: T): R @ E`）では返り値の後ろの `@` を、
lib/elab.ml,291,sample.kel:815,sample.kel:817,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// pub を付けるには、型注釈が完全でなければならない。入れ子の矢印の `@` も省略できない。
lib/elab.ml,292,sample.kel:820-821,sample.kel:822-823,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// 最外の矢印のエフェクト行を省略した場合は、推論に任せず、「本体は純粋でなければならず、
lib/elab.ml,294,:492,:492,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,//   pub let             本体は純粋でなければならず、公開される型は行多相になる（§13）。値束
lib/elab.ml,344,sample.kel:252-255,sample.kel:252-255,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型引数の読み方は、対応するパラメータのカインドによって変わる。カインドが EffectRow なら引数をエフェクト
lib/elab.ml,542,sample.kel:470-502,sample.kel:470-502,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,//
lib/elab.ml,554,sample.kel:484-486,sample.kel:484-486,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 「最外の矢印」は、関数束縛（`let f(x: T): R @ E`）では返り値の後ろの `@` を、
lib/elab.ml,572,sample.kel:496-498,sample.kel:496-498,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 入れ子の矢印に書いた行は、書いたとおりに読み、行変数で開かない。入れ子の矢印とは、最外以外のすべての矢印である。
lib/elab.ml,607,sample.kel:222-227,sample.kel:222-227,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,let report(e: IoError | ParseError): String =
lib/elab.ml,766,sample.kel:252-255,sample.kel:252-255,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型引数の読み方は、対応するパラメータのカインドによって変わる。カインドが EffectRow なら引数をエフェクト
lib/elab.ml,1117,sample.kel:467,sample.kel:467,sample.kel:N,コメント,512 行以前(不変),不変,一致,// `@` の右側はエフェクト行である。`@ Print` は `@ {Print}` の略記
lib/elab.ml,1481,sample.kel:616-621,sample.kel:618-623,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,"let copy(src: String, dst: String): Unit @ {Console, Fs} = {"
lib/elab.ml,1723,sample.kel:545,sample.kel:547,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// resume はアフィンである（呼び出しは高々 1 回）。操作の返り値の型が Unit なら、`resume()`
lib/elab.ml,1740,sample.kel:545,sample.kel:547,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// resume はアフィンである（呼び出しは高々 1 回）。操作の返り値の型が Unit なら、`resume()`
lib/elab.ml,1947,:464,:464,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
lib/elab.ml,1947,:590,:592,接頭辞のない裸の :N,コメント,513 行以降(+2),付け替え(本文),一致,"write: (String) => Unit,"
lib/elab.ml,2075,sample.kel:542-545,sample.kel:544-547,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// resume は継続を表す。resume は第二級（second-class）の値であり、節の外へ持ち出せない
lib/elab.ml,2141,sample.kel:514-515,sample.kel:516-517,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// 操作名は英小文字で始める。`return` と `cancel` は handle の節の名前と衝突するので、操作
lib/elab.ml,2193,sample.kel:517-527,sample.kel:519-529,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// 非修飾の操作名を解決する規則は、perform と handle で異なる：
lib/elab.ml,2198,sample.kel:526-527,sample.kel:528-529,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,//            操作節が 1 つでも修飾されているときは、その修飾先を対象とし、非修飾の節もそのエフェクトの
lib/elab.ml,2249,sample.kel:534,sample.kel:536,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
lib/elab.ml,2250,:724,:726,接頭辞のない裸の :N,コメント,513 行以降(+2),付け替え(本文),一致,// 並行処理は、ランタイムが提供するエフェクトで表す。利用者はこれを処理できない（スケジューラを利用者に書かせない）。
lib/elab.ml,2264,sample.kel:464,sample.kel:464,sample.kel:N,診断文字列,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
lib/elab.ml,2264,:534,:536,"一覧の2つめ以降(, :N)",診断文字列,513 行以降(+2),付け替え(診断文字列),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
lib/elab.ml,2266,sample.kel:465,sample.kel:465,sample.kel:N,診断文字列,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
lib/elab.ml,2266,:534,:536,"一覧の2つめ以降(, :N)",診断文字列,513 行以降(+2),付け替え(診断文字列),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
lib/elab.ml,2266,sample.kel:600,sample.kel:602,sample.kel:N,診断文字列,513 行以降(+2),付け替え(診断文字列),一致,"let with_file[A, E](path: String, body: () => A @ {File, Fs "
lib/elab.ml,2267,sample.kel:724,sample.kel:726,sample.kel:N,診断文字列,513 行以降(+2),付け替え(診断文字列),一致,// 並行処理は、ランタイムが提供するエフェクトで表す。利用者はこれを処理できない（スケジューラを利用者に書かせない）。
lib/elab.ml,2557,sample.kel:546,sample.kel:548,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"println(""test"") handle {"
lib/elab.ml,2571,sample.kel:470-502,sample.kel:470-502,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,//
lib/elab.ml,2584,sample.kel:815-821,sample.kel:817-823,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// pub を付けるには、型注釈が完全でなければならない。入れ子の矢印の `@` も省略できない。
lib/elab.ml,2605,sample.kel:481,sample.kel:481,sample.kel:N,コメント,512 行以前(不変),不変,一致,// `@ {}` だけは両方向に効く。本体は純粋でなければならず、呼び出し側の行も空でなければならない。
lib/elab.ml,2606,sample.kel:476-479,sample.kel:476-479,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 束縛（let、pub let、extern、型クラスのメソッド）の最外の矢印にラベル付きの行を書くと、
lib/elab.ml,2607,sample.kel:496-498,sample.kel:496-498,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 入れ子の矢印に書いた行は、書いたとおりに読み、行変数で開かない。入れ子の矢印とは、最外以外のすべての矢印である。
lib/elab.ml,2609,sample.kel:490-491,sample.kel:490-491,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,//                       本体が `@ {}` の関数（入れ子で `@` を省略したものを含む）
lib/elab.ml,2633,sample.kel:485,sample.kel:485,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 値束縛（`let k: (T) => R @ E = …`）では注釈そのものの先頭の矢印の `@` を指す。
lib/elab.ml,2633,:492,:492,同じ行の二次参照(:N),コメント,512 行以前(不変),不変,一致,//   pub let             本体は純粋でなければならず、公開される型は行多相になる（§13）。値束
lib/elab.ml,2636,sample.kel:478,sample.kel:478,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 一方、公開される型では行変数で行を開くので、呼び出し側の行に他のエフェクトがあってもよい。
lib/elab.ml,3143,sample.kel:772,sample.kel:774,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,let crunch(xs: Array[Int32]): Int32 @ Async = run h {
lib/elab.ml,3155,sample.kel:656-657,sample.kel:658-659,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// Heap がこの 4 つに含まれないのは、Heap[h] がリージョン変数を引数に取るラベルであり、トップレベルに
lib/elab.ml,3208,sample.kel:246-247,sample.kel:246-247,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータのカインドは、宣言群の中の型の本体での使われ方から推論する。使われ方がなければ Type とする。
lib/elab.ml,3223,sample.kel:246-249,sample.kel:246-249,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータのカインドは、宣言群の中の型の本体での使われ方から推論する。使われ方がなければ Type とする。
lib/elab.ml,3434,sample.kel:815-821,sample.kel:817-823,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// pub を付けるには、型注釈が完全でなければならない。入れ子の矢印の `@` も省略できない。
lib/elab.ml,3434,:818-819,:820-821,同じ行の二次参照(:N)(範囲),コメント,513 行以降(+2),付け替え(本文),一致,// この要求は、pub newtype のフィールドに現れる矢印にも適用する（§9 の Parser が例）。
lib/elab.ml,3515,sample.kel:356,sample.kel:356,sample.kel:N,コメント,512 行以前(不変),不変,一致,// ランク 2 多相と多パラメータ型クラスは、意図して除外する。代わりにエフェクトと行多相を使う。
lib/elab.ml,3527,sample.kel:358-360,sample.kel:358-360,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型クラスのパラメータのカインドは、Type か、HKT の `F[_]` のように Type を取って Type 
lib/elab.ml,3533,sample.kel:361-362,sample.kel:361-362,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// エフェクトについて量化したいときは、クラスのパラメータではなく、メソッドの型パラメータとして行変数を取る
lib/elab.ml,3564,sample.kel:476,sample.kel:476,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 束縛（let、pub let、extern、型クラスのメソッド）の最外の矢印にラベル付きの行を書くと、
lib/elab.ml,3566,sample.kel:477-478,sample.kel:477-478,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// その行は本体のエフェクトの上限として働く。注釈にないエフェクトを本体が起こすと、エラーになる。
lib/elab.ml,3624,sample.kel:451-455,sample.kel:451-455,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// Monad、Applicative、Traversable はプレリュードに置かない。理由は次のとおりである。
lib/elab.ml,3667,sample.kel:356,sample.kel:356,sample.kel:N,診断文字列,512 行以前(不変),不変,一致,// ランク 2 多相と多パラメータ型クラスは、意図して除外する。代わりにエフェクトと行多相を使う。
lib/elab.ml,3678,sample.kel:383,sample.kel:383,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 利用者には書かせない。コヒーレンスを守るため、組み込みの自動導出だけがインスタンスを与える。
lib/elab.ml,3690,sample.kel:397-399,sample.kel:397-399,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// `derive structural` を書けるのは、クラスパラメータのカインドが Type のクラスだけである。
lib/elab.ml,3716,sample.kel:476,sample.kel:476,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 束縛（let、pub let、extern、型クラスのメソッド）の最外の矢印にラベル付きの行を書くと、
lib/elab.ml,3795,sample.kel:412-413,sample.kel:412-413,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// リストの型パラメータは、インスタンスの型に現れる `_` へ左から順に対応する
lib/elab.ml,3798,sample.kel:410,sample.kel:410,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 前提付きインスタンスでは、型パラメータリストを `instance` の直後に書く。`instance` と `[
lib/elab.ml,3807,sample.kel:414-416,sample.kel:414-416,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータの個数は、`_` の個数を超えてはならない。対応しなかった右側の `_` は未適用のまま残り、
lib/elab.ml,3809,sample.kel:411,sample.kel:411,sample.kel:N,コメント,512 行以前(不変),不変,一致,// インスタンスの型に書く `_` の個数は、その型構成子が取る型引数の個数と一致しなければならない。
lib/elab.ml,3816,sample.kel:357,sample.kel:357,sample.kel:N,コメント,512 行以前(不変),不変,一致,// コヒーレンス（インスタンスの一意性）は守る。インスタンスは常に大域的に見え、隠したり選び直したりできない。
lib/elab.ml,3821,sample.kel:400,sample.kel:400,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 同じカインドの規則により、インスタンスの頭部のカインドは、クラスパラメータのカインドと一致しなければならない。
lib/elab.ml,3824,sample.kel:417,sample.kel:417,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 型パラメータのカインドは、対応する `_` の位置で型構成子が要求するカインドと一致しなければならない。
lib/elab.ml,3831,sample.kel:397-399,sample.kel:397-399,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// `derive structural` を書けるのは、クラスパラメータのカインドが Type のクラスだけである。
lib/elab.ml,3832,sample.kel:400-402,sample.kel:400-402,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 同じカインドの規則により、インスタンスの頭部のカインドは、クラスパラメータのカインドと一致しなければならない。
lib/elab.ml,3890,sample.kel:441-444,sample.kel:441-444,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,type instance Functor[List[_]] {
lib/elab.ml,3955,sample.kel:456,sample.kel:456,sample.kel:N,コメント,512 行以前(不変),不変,一致,let user_names[E](xs: List[User]): List[String] @ {Print ext
lib/elab.ml,3955,:508,:508,同じ行の二次参照(:N),コメント,512 行以前(不変),不変,一致,let println(message: String): Unit @ Print = perform print(m
lib/elab.ml,4184,sample.kel:418-419,sample.kel:418-419,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータの名前はインスタンス本体の型スコープに入るので、メソッドの型注釈で使える。
lib/elab.ml,4186,sample.kel:418-419,sample.kel:418-419,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータの名前はインスタンス本体の型スコープに入るので、メソッドの型注釈で使える。
lib/elab.ml,4189,sample.kel:441-444,sample.kel:441-444,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,type instance Functor[List[_]] {
lib/elab.ml,4359,sample.kel:838,sample.kel:840,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,type MyBigInt = BigInt  // コンパニオン型（モジュールと同名の型は、モジュール名だけで参照でき
lib/elab.ml,4687,sample.kel:794,sample.kel:796,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// 関数がブロックするかどうかを知っているのはバインディングの作者なので、印は宣言側に付ける。
lib/elab.ml,4784,sample.kel:838,sample.kel:840,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,type MyBigInt = BigInt  // コンパニオン型（モジュールと同名の型は、モジュール名だけで参照でき
lib/elab.ml,4798,sample.kel:833,sample.kel:835,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// インスタンスは常に大域的に見える。pub は書かない
lib/exhaust.ml,771,sample.kel:182,sample.kel:182,sample.kel:N,コメント,512 行以前(不変),不変,一致,"// 値とパターンは、2 要素以上を `(a, b)`、1 要素を `(a,)`、空行を `()` と表示する。"
lib/exhaust.ml,775,sample.kel:179-180,sample.kel:179-180,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// ラベル名は `_item` とする。処理系は、`_item` だけからなる閉じた行をタプルの表記に戻して表示する。
lib/exhaust.ml,781,sample.kel:182,sample.kel:182,sample.kel:N,コメント,512 行以前(不変),不変,一致,"// 値とパターンは、2 要素以上を `(a, b)`、1 要素を `(a,)`、空行を `()` と表示する。"
lib/exhaust.ml,782,sample.kel:183-185,sample.kel:183-185,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型と値で表記が異なるのは空行だけである。空行は、型でも値でもパターンでも、`{}` と `()` のどちらで書いて
lib/exhaust.ml,861,sample.kel:322-324,sample.kel:322-324,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// ガード付きパターン `case P if cond => e`
lib/exhaust.ml,899,sample.kel:322-324,sample.kel:322-324,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// ガード付きパターン `case P if cond => e`
lib/interp.ml,51,sample.kel:277,sample.kel:277,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 評価順序は左から右である。引数リスト、レコードの各フィールド、match の照合対象は、どれも左から右へ評価する。
lib/interp.ml,113,sample.kel:581,sample.kel:583,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// cancel 節から外へは脱出できない。例外に相当するものが起きるとその cancel 節は打ち切るが、脱出は抑制
lib/interp.ml,118,sample.kel:581,sample.kel:583,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// cancel 節から外へは脱出できない。例外に相当するものが起きるとその cancel 節は打ち切るが、脱出は抑制
lib/interp.ml,245,sample.kel:278,sample.kel:278,sample.kel:N,コメント,512 行以前(不変),不変,一致,// `{l = e extends r}` は e を先に、r を最後に評価する。
lib/interp.ml,335,sample.kel:368,sample.kel:368,sample.kel:N,コメント,512 行以前(不変),不変,一致,//   && || !         Boolean の組み込み（短絡評価するので、型クラスにはできない）
lib/interp.ml,381,sample.kel:278,sample.kel:278,sample.kel:N,コメント,512 行以前(不変),不変,一致,// `{l = e extends r}` は e を先に、r を最後に評価する。
lib/interp.ml,421,sample.kel:190-191,sample.kel:190-191,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 閉じた行なので、要素数（arity）は静的に検査する。
lib/interp.ml,516,sample.kel:383,sample.kel:383,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 利用者には書かせない。コヒーレンスを守るため、組み込みの自動導出だけがインスタンスを与える。
lib/interp.ml,517,sample.kel:391-395,sample.kel:391-395,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 導出は閉じた行にだけ適用する。行変数を含む型は比較できない。
lib/interp.ml,736,sample.kel:568-581,sample.kel:570-583,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,"let try_[A, E](body: () => A @ {Fail extends E}): #Ok(A) | #"
lib/interp.ml,825,sample.kel:581,sample.kel:583,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// cancel 節から外へは脱出できない。例外に相当するものが起きるとその cancel 節は打ち切るが、脱出は抑制
lib/interp.ml,851,sample.kel:473,sample.kel:473,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 行の部分型付け（サブエフェクティング）はない。関数の行と呼び出し側の行は、単一化で一致させる。
lib/interp.ml,870,sample.kel:581,sample.kel:583,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// cancel 節から外へは脱出できない。例外に相当するものが起きるとその cancel 節は打ち切るが、脱出は抑制
lib/lexer.ml,20,sample.kel:20-29,sample.kel:20-29,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// --- `{` の読み分け（2 トークン先読み） ---
lib/lexer.ml,105,sample.kel:94,sample.kel:94,sample.kel:N,コメント,512 行以前(不変),不変,一致,let d = -1                           // 符号はリテラルの字句に含まれる（単項マイ
lib/lexer.ml,157,sample.kel:174-175,sample.kel:174-175,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 位置によるアクセスは `t._0`、`t._1` … と書く。`t.0` にしないのは、`t.0.1` が
lib/lexer.ml,648,sample.kel:20-29,sample.kel:20-29,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// --- `{` の読み分け（2 トークン先読み） ---
lib/lexer.ml,668,sample.kel:26-28,sample.kel:26-28,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,//   `@` の直後、EffectRow のエイリアスの右辺、effect 宣言の本体では、上の表のどれに分類されて
lib/lexer.ml,679,sample.kel:29,sample.kel:29,sample.kel:N,コメント,512 行以前(不変),不変,一致,//   `{x}` は IDENT `}` なのでブロックになる。フィールドが 1 個のレコードは、`{x = x}`
lib/lexer.ml,752,sample.kel:295,sample.kel:295,sample.kel:N,コメント,512 行以前(不変),不変,一致,// ただし、行頭の `(` は前の行の続きとはみなさない（改行による区切りが優先する）
lib/parser.mly,156,sample.kel:175,sample.kel:175,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 浮動小数点リテラルと字句上で衝突するためである（Rust が実際に苦労した点）。
lib/parser.mly,331,sample.kel:617,sample.kel:619,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,with _ = with_file(src)
lib/parser.mly,331,:619,:621,"一覧の2つめ以降(, :N)",コメント,513 行以降(+2),付け替え(本文),一致,with _ = with_file(dst)
lib/parser.mly,332,:632,:634,接頭辞のない裸の :N,コメント,513 行以降(+2),付け替え(本文),一致,"with x = Parser.bind(Parser.token(""(""))"
lib/parser.mly,666,sample.kel:590,sample.kel:592,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"write: (String) => Unit,"
lib/parser.mly,666,:755-758,:757-760,同じ行の二次参照(:N)(範囲),コメント,513 行以降(+2),付け替え(本文),一致,"let with_timeout[A, E]("
lib/parser.mly,686,sample.kel:50-51,sample.kel:50-51,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータはこの規則の対象外で、文法上は大文字で始めても小文字で始めてもよい。慣習として、型は大文字
lib/parser.mly,688,sample.kel:52,sample.kel:52,sample.kel:N,コメント,512 行以前(不変),不変,一致,// ただし `run` が導入するリージョン変数は、文法上も小文字で始まる識別子に限る（`run h { … }`。`
lib/parser.mly,777,sample.kel:94,sample.kel:94,sample.kel:N,コメント,512 行以前(不変),不変,一致,let d = -1                           // 符号はリテラルの字句に含まれる（単項マイ
lib/parser.mly,780,sample.kel:335,sample.kel:335,sample.kel:N,コメント,512 行以前(不変),不変,一致,case n if n < 0 => is_even(0 - n)
lib/parser.mly,1074,sample.kel:648,sample.kel:650,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"type Request: EffectRow = {ReqId, Logger, Tracer}"
lib/parser.mly,1080,sample.kel:26-28,sample.kel:26-28,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,//   `@` の直後、EffectRow のエイリアスの右辺、effect 宣言の本体では、上の表のどれに分類されて
